# V* for mitchell_12x12_factorized backend=sdd gamma=0.9 eps=0.01
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=1) = 34.867844
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=1, y(9,0)=0) = 31.381060
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=1, y(8,0)=0, y(9,0)=0) = 28.242954
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=1, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 25.418658
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=1, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 22.876792
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=1, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 20.589113
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=1, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 18.530202
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=1, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 16.677182
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=1, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 47.829690
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=0, y(11,0)=1, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 43.046721
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=0, y(10,0)=1, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 38.742049
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=0, x(9,0)=1, y(1,0)=1, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 15.009464
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=1) = 38.742049
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=1, y(9,0)=0) = 34.867844
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=1, y(8,0)=0, y(9,0)=0) = 31.381060
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=1, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 28.242954
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=1, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 25.418658
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=1, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 22.876792
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=1, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 20.589113
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=1, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 18.530202
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=1, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 53.144100
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=1, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 47.829690
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=0, y(10,0)=1, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 43.046721
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=0, x(8,0)=1, x(9,0)=0, y(1,0)=1, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 16.677182
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=1, x(8,0)=0, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=1) = 43.046721
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=1, x(8,0)=0, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=1, y(9,0)=0) = 38.742049
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=1, x(8,0)=0, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=0, y(7,0)=1, y(8,0)=0, y(9,0)=0) = 34.867844
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=1, x(8,0)=0, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=0, y(6,0)=1, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 31.381060
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=1, x(8,0)=0, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=0, y(5,0)=1, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 28.242954
  (x(1,0)=0, x(10,0)=0, x(11,0)=0, x(12,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=0, x(5,0)=0, x(6,0)=0, x(7,0)=1, x(8,0)=0, x(9,0)=0, y(1,0)=0, y(10,0)=0, y(11,0)=0, y(12,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=1, y(5,0)=0, y(6,0)=0, y(7,0)=0, y(8,0)=0, y(9,0)=0) = 25.418658
