# V* for mitchell_16x16_binary backend=sdd gamma=0.9 eps=0.01
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=0, b7(0)=0, b8(0)=0, b9(0)=0) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=0, b7(0)=0, b8(0)=0, b9(0)=1) = 22.876792
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=0, b7(0)=0, b8(0)=1, b9(0)=0) = 53.144100
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=0, b7(0)=0, b8(0)=1, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=0, b7(0)=1, b8(0)=0, b9(0)=0) = 81.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=0, b7(0)=1, b8(0)=0, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=0, b7(0)=1, b8(0)=1, b9(0)=0) = 34.867844
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=0, b7(0)=1, b8(0)=1, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=1, b7(0)=0, b8(0)=0, b9(0)=0) = 100.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=1, b7(0)=0, b8(0)=0, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=1, b7(0)=0, b8(0)=1, b9(0)=0) = 43.046721
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=1, b7(0)=0, b8(0)=1, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=1, b7(0)=1, b8(0)=0, b9(0)=0) = 65.610000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=1, b7(0)=1, b8(0)=0, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=1, b7(0)=1, b8(0)=1, b9(0)=0) = 28.242954
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0, b6(0)=1, b7(0)=1, b8(0)=1, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=1, b6(0)=0, b7(0)=0, b8(0)=0, b9(0)=0) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=1, b6(0)=0, b7(0)=0, b8(0)=0, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=1, b6(0)=0, b7(0)=0, b8(0)=1, b9(0)=0) = 47.829690
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=1, b6(0)=0, b7(0)=0, b8(0)=1, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=1, b6(0)=0, b7(0)=1, b8(0)=0, b9(0)=0) = 72.900000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=1, b6(0)=0, b7(0)=1, b8(0)=0, b9(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=1, b6(0)=0, b7(0)=1, b8(0)=1, b9(0)=0) = 31.381060
