# V* for mitchell_4x4_binary backend=sdd gamma=0.9 eps=0.01
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=1) = 81.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=1, b5(0)=0) = 100.000000
  (b1(0)=0, b2(0)=0, b3(0)=0, b4(0)=1, b5(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=1, b4(0)=0, b5(0)=0) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=1, b4(0)=0, b5(0)=1) = 0.000000
  (b1(0)=0, b2(0)=0, b3(0)=1, b4(0)=1, b5(0)=0) = 90.000000
  (b1(0)=0, b2(0)=0, b3(0)=1, b4(0)=1, b5(0)=1) = 0.000000
  (b1(0)=0, b2(0)=1, b3(0)=0, b4(0)=0, b5(0)=0) = 90.000000
  (b1(0)=0, b2(0)=1, b3(0)=0, b4(0)=0, b5(0)=1) = 0.000000
  (b1(0)=0, b2(0)=1, b3(0)=0, b4(0)=1, b5(0)=0) = 72.900000
  (b1(0)=0, b2(0)=1, b3(0)=0, b4(0)=1, b5(0)=1) = 0.000000
  (b1(0)=0, b2(0)=1, b3(0)=1, b4(0)=0, b5(0)=0) = 81.000000
  (b1(0)=0, b2(0)=1, b3(0)=1, b4(0)=0, b5(0)=1) = 0.000000
  (b1(0)=0, b2(0)=1, b3(0)=1, b4(0)=1, b5(0)=0) = 65.610000
  (b1(0)=0, b2(0)=1, b3(0)=1, b4(0)=1, b5(0)=1) = 0.000000
  (b1(0)=1, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=0) = 81.000000
  (b1(0)=1, b2(0)=0, b3(0)=0, b4(0)=0, b5(0)=1) = 0.000000
  (b1(0)=1, b2(0)=0, b3(0)=0, b4(0)=1, b5(0)=0) = 65.610000
  (b1(0)=1, b2(0)=0, b3(0)=0, b4(0)=1, b5(0)=1) = 0.000000
  (b1(0)=1, b2(0)=0, b3(0)=1, b4(0)=0, b5(0)=0) = 72.900000
  (b1(0)=1, b2(0)=0, b3(0)=1, b4(0)=0, b5(0)=1) = 0.000000
  (b1(0)=1, b2(0)=0, b3(0)=1, b4(0)=1, b5(0)=0) = 59.049000
  (b1(0)=1, b2(0)=0, b3(0)=1, b4(0)=1, b5(0)=1) = 0.000000
  (b1(0)=1, b2(0)=1, b3(0)=0, b4(0)=0, b5(0)=0) = 100.000000
  (b1(0)=1, b2(0)=1, b3(0)=0, b4(0)=0, b5(0)=1) = 0.000000
  (b1(0)=1, b2(0)=1, b3(0)=0, b4(0)=1, b5(0)=0) = 81.000000
  (b1(0)=1, b2(0)=1, b3(0)=0, b4(0)=1, b5(0)=1) = 0.000000
  (b1(0)=1, b2(0)=1, b3(0)=1, b4(0)=0, b5(0)=0) = 90.000000
  (b1(0)=1, b2(0)=1, b3(0)=1, b4(0)=0, b5(0)=1) = 0.000000
  (b1(0)=1, b2(0)=1, b3(0)=1, b4(0)=1, b5(0)=0) = 72.900000
  (b1(0)=1, b2(0)=1, b3(0)=1, b4(0)=1, b5(0)=1) = 0.000000
