# V* for mitchell_4x4_factorized backend=sdd gamma=0.9 eps=0.01
  (x(1,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=1, y(1,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=1) = 81.000000
  (x(1,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=1, y(1,0)=0, y(2,0)=0, y(3,0)=1, y(4,0)=0) = 72.900000
  (x(1,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=1, y(1,0)=0, y(2,0)=1, y(3,0)=0, y(4,0)=0) = 65.610000
  (x(1,0)=0, x(2,0)=0, x(3,0)=0, x(4,0)=1, y(1,0)=1, y(2,0)=0, y(3,0)=0, y(4,0)=0) = 59.049000
  (x(1,0)=0, x(2,0)=0, x(3,0)=1, x(4,0)=0, y(1,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=1) = 90.000000
  (x(1,0)=0, x(2,0)=0, x(3,0)=1, x(4,0)=0, y(1,0)=0, y(2,0)=0, y(3,0)=1, y(4,0)=0) = 81.000000
  (x(1,0)=0, x(2,0)=0, x(3,0)=1, x(4,0)=0, y(1,0)=0, y(2,0)=1, y(3,0)=0, y(4,0)=0) = 72.900000
  (x(1,0)=0, x(2,0)=0, x(3,0)=1, x(4,0)=0, y(1,0)=1, y(2,0)=0, y(3,0)=0, y(4,0)=0) = 65.610000
  (x(1,0)=0, x(2,0)=1, x(3,0)=0, x(4,0)=0, y(1,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=1) = 100.000000
  (x(1,0)=0, x(2,0)=1, x(3,0)=0, x(4,0)=0, y(1,0)=0, y(2,0)=0, y(3,0)=1, y(4,0)=0) = 90.000000
  (x(1,0)=0, x(2,0)=1, x(3,0)=0, x(4,0)=0, y(1,0)=0, y(2,0)=1, y(3,0)=0, y(4,0)=0) = 81.000000
  (x(1,0)=0, x(2,0)=1, x(3,0)=0, x(4,0)=0, y(1,0)=1, y(2,0)=0, y(3,0)=0, y(4,0)=0) = 72.900000
  (x(1,0)=1, x(2,0)=0, x(3,0)=0, x(4,0)=0, y(1,0)=0, y(2,0)=0, y(3,0)=0, y(4,0)=1) = 0.000000
  (x(1,0)=1, x(2,0)=0, x(3,0)=0, x(4,0)=0, y(1,0)=0, y(2,0)=0, y(3,0)=1, y(4,0)=0) = 100.000000
  (x(1,0)=1, x(2,0)=0, x(3,0)=0, x(4,0)=0, y(1,0)=0, y(2,0)=1, y(3,0)=0, y(4,0)=0) = 90.000000
  (x(1,0)=1, x(2,0)=0, x(3,0)=0, x(4,0)=0, y(1,0)=1, y(2,0)=0, y(3,0)=0, y(4,0)=0) = 81.000000
