model_id,domain,grid,encoding,backend,gamma,epsilon,status,error,src_n_src_lines,src_n_rules_src,src_n_fluent_decls,src_n_action_decls,src_n_utility_decls,mdp_n_factors,mdp_bases,mdp_state_space,mdp_n_actions,mdp_n_fluents,mdp_sa_pairs,iterations,n_evals,successful_runs,t_build_mean,t_build_std,t_build_median,t_build_min,t_build_max,t_vi_mean,t_vi_std,t_vi_median,t_vi_min,t_vi_max,t_total_mean,t_total_std,t_total_median,t_total_min,t_total_max,t_parse_mean,t_parse_std,t_parse_median,t_parse_min,t_parse_max,t_classify_mean,t_classify_std,t_classify_median,t_classify_min,t_classify_max,t_ground_mean,t_ground_std,t_ground_median,t_ground_min,t_ground_max,t_compile_mean,t_compile_std,t_compile_median,t_compile_min,t_compile_max
mitchell_12x12_binary,mitchell,12x12,binary,ddnnf,0.9,0.01,TIMEOUT,Timeout after 400s,2605,2595,8,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell_12x12_binary,mitchell,12x12,binary,darwiche,0.9,0.01,OK,,2605,2595,8,1,1,8,"[2, 2, 2, 2, 2, 2, 2, 2]",256,5,8,1280,12,15360,10,7.263397,0.300612,7.132391,6.922883,7.755246,153.783066,3.25109,152.922683,151.216869,162.245871,161.046463,3.415202,160.255848,158.139753,170.001118,1.22211,0.092134,1.18845,1.1044,1.4026,0.0122,0.000627,0.0124,0.0111,0.0129,1.66339,0.080337,1.634,1.5661,1.7999,4.15405,0.260552,4.03335,3.9279,4.7278
mitchell_12x12_binary,mitchell,12x12,binary,sdd,0.9,0.01,OK,,2605,2595,8,1,1,8,"[2, 2, 2, 2, 2, 2, 2, 2]",256,5,8,1280,12,15360,10,4.67095,0.338749,4.513528,4.315551,5.367285,15.790783,1.080874,16.006975,14.631067,17.964348,20.461733,1.289882,20.440122,19.016495,22.963298,1.29002,0.083569,1.2887,1.1669,1.4764,0.0125,0.000514,0.0124,0.0117,0.0135,1.78087,0.125471,1.73545,1.6373,1.9999,1.36949,0.211684,1.3293,1.1474,1.9209
mitchell_16x16_binary,mitchell,16x16,binary,ddnnf,0.9,0.01,TIMEOUT,Timeout after 400s,5387,5376,9,1,1,,,,,,,,,0,13.924093,0.400008,13.773718,13.428706,14.580668,78.643148,3.811976,78.876839,73.454332,84.576168,92.56724,3.619581,92.733398,87.753614,98.192414,2.78983,0.246289,2.75205,2.5123,3.2714,0.02881,0.002122,0.02885,0.0254,0.0325,4.00489,0.227497,4.0153,3.6867,4.4293,6.51711,0.375207,6.5461,5.9242,7.1767
mitchell_16x16_binary,mitchell,16x16,binary,darwiche,0.9,0.01,TIMEOUT,Timeout after 400s,5387,5376,9,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell_16x16_binary,mitchell,16x16,binary,sdd,0.9,0.01,OK,,5387,5376,9,1,1,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",512,5,9,2560,16,40960,10,14.150873,0.998672,13.961452,13.05136,15.948194,80.098386,9.495647,81.791921,68.794967,94.91214,94.249259,10.1565,96.016286,81.846327,109.722613,3.07526,0.271432,3.0572,2.6598,3.681,0.02849,0.003165,0.02735,0.0251,0.0343,4.16187,0.507852,4.00895,3.698,5.1096,6.27461,0.403893,6.24365,5.6282,6.9259
mitchell_2x3_binary,mitchell,2x3,binary,ddnnf,0.9,0.01,OK,,47,42,3,1,1,3,"[2, 2, 2]",8,5,3,40,3,120,10,0.08111,0.119239,0.043418,0.040349,0.420331,0.137015,0.009219,0.133182,0.12735,0.153847,0.218125,0.117231,0.177069,0.168424,0.550406,0.00701,0.000393,0.00685,0.0067,0.0079,0.00031,0.000032,0.0003,0.0003,0.0004,0.0563,0.117658,0.01765,0.0171,0.391,0.01602,0.001671,0.01555,0.0144,0.0194
mitchell_2x3_binary,mitchell,2x3,binary,darwiche,0.9,0.01,OK,,47,42,3,1,1,3,"[2, 2, 2]",8,5,3,40,3,120,10,0.046378,0.004948,0.044698,0.042606,0.059735,0.062721,0.004006,0.062015,0.057841,0.068903,0.109099,0.005067,0.108944,0.101796,0.118737,0.00761,0.0005,0.0076,0.0069,0.0084,0.00031,0.000032,0.0003,0.0003,0.0004,0.01865,0.001124,0.0183,0.017,0.02,0.0183,0.00546,0.01715,0.0135,0.0324
mitchell_2x3_binary,mitchell,2x3,binary,sdd,0.9,0.01,OK,,47,42,3,1,1,3,"[2, 2, 2]",8,5,3,40,3,120,10,0.045085,0.003337,0.043901,0.043345,0.05438,0.010668,0.000249,0.010576,0.010467,0.011277,0.055753,0.00342,0.054465,0.053812,0.065178,0.00718,0.000239,0.0071,0.0069,0.0076,0.0003,0,0.0003,0.0003,0.0003,0.01784,0.000272,0.01785,0.0174,0.0183,0.01827,0.003053,0.0172,0.0167,0.0268
mitchell_32x32_binary,mitchell,32x32,binary,ddnnf,0.9,0.01,TIMEOUT,Timeout after 400s,26636,26623,11,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell_32x32_binary,mitchell,32x32,binary,darwiche,0.9,0.01,TIMEOUT,Timeout after 400s,26636,26623,11,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell_32x32_binary,mitchell,32x32,binary,sdd,0.9,0.01,TIMEOUT,Timeout after 400s,26636,26623,11,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell_3x3_binary,mitchell,3x3,binary,ddnnf,0.9,0.01,OK,,83,77,4,1,1,4,"[2, 2, 2, 2]",16,5,4,80,3,240,10,0.094824,0.007284,0.093402,0.085267,0.108617,0.710023,0.036347,0.716648,0.63905,0.757974,0.804847,0.037025,0.816991,0.730517,0.855798,0.01765,0.004674,0.0162,0.0145,0.0307,0.00071,0.000228,0.0006,0.0005,0.0011,0.04216,0.005381,0.0411,0.0354,0.0543,0.03114,0.002411,0.03035,0.0281,0.0347
mitchell_3x3_binary,mitchell,3x3,binary,darwiche,0.9,0.01,OK,,83,77,4,1,1,4,"[2, 2, 2, 2]",16,5,4,80,3,240,10,0.105782,0.008804,0.104411,0.095713,0.118372,0.272788,0.013757,0.266784,0.258718,0.297309,0.37857,0.016092,0.378951,0.358692,0.403475,0.01947,0.00659,0.0174,0.0169,0.0382,0.00058,0.000042,0.0006,0.0005,0.0006,0.04446,0.00493,0.04295,0.0404,0.0562,0.03797,0.006762,0.0367,0.0314,0.055
mitchell_3x3_binary,mitchell,3x3,binary,sdd,0.9,0.01,OK,,83,77,4,1,1,4,"[2, 2, 2, 2]",16,5,4,80,3,240,10,0.07069,0.001113,0.070573,0.069096,0.072502,0.028855,0.000096,0.028848,0.028698,0.029034,0.099545,0.001108,0.099445,0.097794,0.101274,0.01422,0.000349,0.0141,0.0137,0.0148,0.00049,0.000145,0.0004,0.0004,0.0008,0.03362,0.000437,0.0338,0.0327,0.034,0.01961,0.000895,0.01925,0.0191,0.0213
mitchell_4x4_binary,mitchell,4x4,binary,ddnnf,0.9,0.01,OK,,185,178,5,1,1,5,"[2, 2, 2, 2, 2]",32,5,5,160,4,640,10,0.253594,0.007753,0.253532,0.241196,0.266364,4.113884,0.04653,4.096882,4.071255,4.192502,4.367478,0.047322,4.349335,4.322038,4.444704,0.05406,0.011367,0.0561,0.0407,0.0667,0.00107,0.000048,0.0011,0.001,0.0011,0.10885,0.011042,0.1022,0.0969,0.1257,0.07949,0.002803,0.07865,0.0766,0.0855
mitchell_4x4_binary,mitchell,4x4,binary,darwiche,0.9,0.01,OK,,185,178,5,1,1,5,"[2, 2, 2, 2, 2]",32,5,5,160,4,640,10,0.254072,0.016331,0.260794,0.229191,0.271214,1.262048,0.019316,1.259799,1.239996,1.302708,1.51612,0.030731,1.520425,1.474511,1.570794,0.0494,0.015097,0.04245,0.0414,0.0819,0.00113,0.000106,0.0011,0.001,0.0014,0.11384,0.014253,0.1108,0.0993,0.1311,0.08102,0.003036,0.0811,0.0764,0.0853
mitchell_4x4_binary,mitchell,4x4,binary,sdd,0.9,0.01,OK,,185,178,5,1,1,5,"[2, 2, 2, 2, 2]",32,5,5,160,4,640,10,0.189731,0.027172,0.183328,0.156443,0.247273,0.124857,0.012612,0.125045,0.109834,0.141126,0.314588,0.036452,0.309573,0.267028,0.378624,0.04301,0.010342,0.0403,0.0338,0.0642,0.00087,0.000116,0.0008,0.0008,0.0011,0.10312,0.022808,0.1007,0.0819,0.1597,0.03573,0.011221,0.0311,0.03,0.0666
mitchell_6x6_binary,mitchell,6x6,binary,ddnnf,0.9,0.01,OK,,480,472,6,1,1,6,"[2, 2, 2, 2, 2, 2]",64,5,6,320,6,1920,10,0.789802,0.101523,0.811172,0.664444,0.912186,27.01535,2.519596,26.563065,24.257491,30.556602,27.805152,2.588318,27.465336,24.947896,31.403368,0.16304,0.029836,0.1648,0.1288,0.2146,0.00257,0.000579,0.0026,0.002,0.004,0.32324,0.036365,0.32725,0.2737,0.3733,0.2767,0.04113,0.2728,0.2342,0.3585
mitchell_6x6_binary,mitchell,6x6,binary,darwiche,0.9,0.01,OK,,480,472,6,1,1,6,"[2, 2, 2, 2, 2, 2]",64,5,6,320,6,1920,10,0.690133,0.024707,0.682561,0.660087,0.744133,6.287569,0.116155,6.297803,6.137509,6.481886,6.977702,0.125465,6.99435,6.803394,7.194744,0.13713,0.009659,0.13885,0.1111,0.1466,0.0021,0.000105,0.0021,0.0019,0.0023,0.28454,0.013811,0.2798,0.2693,0.3133,0.24644,0.015649,0.24455,0.2277,0.2776
